Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
100.000000	8.011098e-01	7.605462e-01	8.059549e-01	8.707590e-01	6.451790e-01	8.177198e-01	9.078973e-01	7.923978e-01	
100.300323	8.190171e-01	7.775794e-01	8.238216e-01	8.901012e-01	6.597607e-01	8.359998e-01	9.280150e-01	8.100277e-01	
100.601548	8.372855e-01	7.949572e-01	8.420455e-01	9.098309e-01	6.746418e-01	8.546493e-01	9.485345e-01	8.280124e-01	
100.903678	8.559216e-01	8.126856e-01	8.606330e-01	9.299551e-01	6.898279e-01	8.736749e-01	9.694630e-01	8.463583e-01	
101.206715	8.749319e-01	8.307711e-01	8.795905e-01	9.504807e-01	7.053244e-01	8.930833e-01	9.908076e-01	8.650718e-01	
101.510662	8.943231e-01	8.492200e-01	8.989245e-01	9.714149e-01	7.211372e-01	9.128815e-01	1.012576e+00	8.841596e-01	
101.815522	9.141019e-01	8.680388e-01	9.186418e-01	9.927650e-01	7.372719e-01	9.330763e-01	1.034775e+00	9.036283e-01	
102.121298	9.342753e-01	8.872341e-01	9.387490e-01	1.014538e+00	7.537345e-01	9.536749e-01	1.057413e+00	9.234846e-01	
102.427992	9.548502e-01	9.068126e-01	9.592530e-01	1.036742e+00	7.705309e-01	9.746845e-01	1.080497e+00	9.437355e-01	
102.735607	9.758338e-01	9.267811e-01	9.801608e-01	1.059384e+00	7.876673e-01	9.961124e-01	1.104035e+00	9.643881e-01	
103.044146	9.972333e-01	9.471465e-01	1.001479e+00	1.082472e+00	8.051497e-01	1.017966e+00	1.128035e+00	9.854493e-01	
103.353611	1.019056e+00	9.679158e-01	1.023216e+00	1.106013e+00	8.229844e-01	1.040253e+00	1.152505e+00	1.006927e+00	
103.664006	1.041309e+00	9.890963e-01	1.045378e+00	1.130016e+00	8.411778e-01	1.062981e+00	1.177453e+00	1.028827e+00	
103.975333	1.064001e+00	1.010695e+00	1.067973e+00	1.154489e+00	8.597364e-01	1.086157e+00	1.202888e+00	1.051158e+00	
104.287595	1.087138e+00	1.032719e+00	1.091007e+00	1.179440e+00	8.786667e-01	1.109790e+00	1.228818e+00	1.073928e+00	
104.600795	1.110729e+00	1.055177e+00	1.114490e+00	1.204876e+00	8.979755e-01	1.133888e+00	1.255251e+00	1.097143e+00	
104.914935	1.134782e+00	1.078075e+00	1.138428e+00	1.230807e+00	9.176694e-01	1.158458e+00	1.282196e+00	1.120812e+00	
105.230019	1.159304e+00	1.101421e+00	1.162830e+00	1.257241e+00	9.377553e-01	1.183509e+00	1.309663e+00	1.144943e+00	
105.546049	1.184304e+00	1.125224e+00	1.187703e+00	1.284187e+00	9.582404e-01	1.209050e+00	1.337659e+00	1.169544e+00	
105.863029	1.209790e+00	1.149491e+00	1.213055e+00	1.311654e+00	9.791316e-01	1.235089e+00	1.366195e+00	1.194622e+00	
106.180960	1.235770e+00	1.174229e+00	1.238895e+00	1.339650e+00	1.000436e+00	1.261634e+00	1.395278e+00	1.220187e+00	
106.499846	1.262253e+00	1.199449e+00	1.265231e+00	1.368184e+00	1.022161e+00	1.288694e+00	1.424920e+00	1.246247e+00	
106.819689	1.289248e+00	1.225156e+00	1.292072e+00	1.397266e+00	1.044315e+00	1.316279e+00	1.455128e+00	1.272809e+00	
107.140494	1.316763e+00	1.251361e+00	1.319426e+00	1.426905e+00	1.066904e+00	1.344397e+00	1.485913e+00	1.299884e+00	
107.462261	1.344807e+00	1.278071e+00	1.347301e+00	1.457111e+00	1.089937e+00	1.373057e+00	1.517285e+00	1.327479e+00	
107.784996	1.373390e+00	1.305296e+00	1.375707e+00	1.487893e+00	1.113420e+00	1.402270e+00	1.549252e+00	1.355604e+00	
108.108699	1.402520e+00	1.333043e+00	1.404653e+00	1.519261e+00	1.137363e+00	1.432043e+00	1.581827e+00	1.384268e+00	
108.433374	1.432207e+00	1.361323e+00	1.434148e+00	1.551225e+00	1.161773e+00	1.462388e+00	1.615018e+00	1.413479e+00	
