wave,flux,error
1.149943575,4.24E-16,1.24E-17
1.150049648,4.26E-16,1.21E-17
1.15015572,4.28E-16,1.17E-17
1.150261792,4.31E-16,1.12E-17
1.150367864,4.33E-16,1.07E-17
1.150473936,4.35E-16,1.02E-17
1.150580008,4.38E-16,9.70E-18
1.15068608,4.40E-16,9.26E-18
1.150792152,4.43E-16,8.90E-18
1.150898224,4.45E-16,8.62E-18
1.151004296,4.47E-16,8.41E-18
1.151110368,4.48E-16,8.25E-18
1.15121644,4.49E-16,8.12E-18
1.151322512,4.50E-16,8.01E-18
1.151428584,4.51E-16,7.91E-18
1.151534656,4.51E-16,7.82E-18
1.151640729,4.50E-16,7.75E-18
1.151746801,4.49E-16,7.72E-18
1.151852873,4.47E-16,7.74E-18
1.151958945,4.45E-16,7.80E-18
1.152065017,4.43E-16,7.91E-18
1.152171089,4.41E-16,8.07E-18
1.152277161,4.38E-16,8.27E-18
1.152383233,4.35E-16,8.51E-18
1.152489305,4.33E-16,8.79E-18
1.152595377,4.31E-16,9.09E-18
1.152701449,4.29E-16,9.41E-18
1.152807521,4.28E-16,9.70E-18
1.152913593,4.28E-16,9.93E-18
1.153019665,4.28E-16,1.01E-17
1.153125738,4.28E-16,1.01E-17
1.15323181,4.29E-16,1.00E-17
1.153337882,4.31E-16,9.86E-18
1.153443954,4.32E-16,9.65E-18
1.153550026,4.34E-16,9.45E-18
1.153656098,4.36E-16,9.31E-18
1.15376217,4.37E-16,9.24E-18
1.153868242,4.37E-16,9.26E-18
1.153974314,4.38E-16,9.32E-18
1.154080386,4.38E-16,9.40E-18
1.154186458,4.37E-16,9.47E-18
1.15429253,4.37E-16,9.48E-18
1.154398602,4.37E-16,9.44E-18
1.154504674,4.36E-16,9.34E-18
1.154610746,4.37E-16,9.19E-18
1.154716819,4.37E-16,9.01E-18
1.154822891,4.38E-16,8.81E-18
1.154928963,4.40E-16,8.60E-18
1.155035035,4.41E-16,8.38E-18
1.155141107,4.43E-16,8.15E-18
1.155247179,4.45E-16,7.94E-18
1.155353251,4.47E-16,7.77E-18
1.155459323,4.50E-16,7.68E-18
1.155565395,4.52E-16,7.70E-18
1.155671467,4.54E-16,7.82E-18
1.155777539,4.56E-16,8.03E-18
1.155883611,4.57E-16,8.27E-18
1.155989683,4.58E-16,8.50E-18
1.156095755,4.58E-16,8.66E-18
1.156201827,4.58E-16,8.74E-18
1.1563079,4.57E-16,8.70E-18
1.156413972,4.55E-16,8.59E-18
1.156520044,4.53E-16,8.42E-18
1.156626116,4.51E-16,8.23E-18
1.156732188,4.48E-16,8.06E-18
1.15683826,4.44E-16,7.92E-18
1.156944332,4.41E-16,7.81E-18
1.157050404,4.38E-16,7.73E-18
1.157156476,4.36E-16,7.66E-18
1.157262548,4.33E-16,7.57E-18
1.15736862,4.31E-16,7.47E-18
1.157474692,4.30E-16,7.36E-18
1.157580764,4.30E-16,7.26E-18
1.157686836,4.30E-16,7.19E-18
1.157792909,4.31E-16,7.17E-18
1.157898981,4.32E-16,7.21E-18
1.158005053,4.33E-16,7.31E-18
1.158111125,4.35E-16,7.46E-18
1.158217197,4.37E-16,7.64E-18
1.158323269,4.39E-16,7.83E-18
1.158429341,4.41E-16,8.01E-18
1.158535413,4.42E-16,8.18E-18
1.158641485,4.43E-16,8.33E-18
1.158747557,4.44E-16,8.48E-18
1.158853629,4.44E-16,8.64E-18
1.158959701,4.44E-16,8.81E-18
1.159065773,4.44E-16,9.01E-18
1.159171845,4.43E-16,9.21E-18
1.159277917,4.42E-16,9.39E-18
1.15938399,4.41E-16,9.54E-18
1.159490062,4.41E-16,9.62E-18
1.159596134,4.40E-16,9.64E-18
1.159702206,4.40E-16,9.61E-18
1.159808278,4.41E-16,9.55E-18
1.15991435,4.42E-16,9.50E-18
1.160020422,4.43E-16,9.48E-18
1.160126494,4.44E-16,9.52E-18
1.160232566,4.44E-16,9.63E-18
1.160338638,4.44E-16,9.79E-18
1.16044471,4.43E-16,9.97E-18
1.160550782,4.40E-16,1.01E-17
1.160656854,4.37E-16,1.02E-17
1.160762926,4.34E-16,1.01E-17
1.160868998,4.30E-16,9.96E-18
1.160975071,4.26E-16,9.66E-18
1.161081143,4.22E-16,9.29E-18
1.161187215,4.19E-16,8.90E-18
1.161293287,4.17E-16,8.55E-18
1.161399359,4.16E-16,8.26E-18
1.161505431,4.16E-16,8.05E-18
1.161611503,4.17E-16,7.92E-18
1.161717575,4.19E-16,7.84E-18
1.161823647,4.22E-16,7.80E-18
1.161929719,4.26E-16,7.78E-18
1.162035791,4.29E-16,7.78E-18
1.162141863,4.33E-16,7.78E-18
1.162247935,4.37E-16,7.78E-18
