(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       CO2      C2H2        H2         H       H2O       HCN        He       NH3        O2        NO        OH
1.000E+09  2286.5  0.00E+00  4.09E-04  5.33E-05  8.62E-09  2.26E-08  8.36E-01  2.61E-04  7.52E-04  6.29E-07  1.62E-01  6.22E-05  2.97E-15  1.25E-11  4.13E-08
8.527E+08  2196.2  6.00E+06  4.16E-04  4.71E-05  8.11E-09  1.38E-08  8.36E-01  1.73E-04  7.58E-04  4.79E-07  1.62E-01  6.05E-05  1.19E-15  6.56E-12  2.43E-08
7.272E+08  2109.7  1.18E+07  4.23E-04  4.07E-05  7.49E-09  8.13E-09  8.36E-01  1.12E-04  7.65E-04  3.56E-07  1.62E-01  5.90E-05  4.60E-16  3.35E-12  1.39E-08
6.201E+08  2024.9  1.73E+07  4.30E-04  3.40E-05  6.72E-09  4.51E-09  8.36E-01  7.07E-05  7.71E-04  2.56E-07  1.62E-01  5.79E-05  1.65E-16  1.63E-12  7.69E-09
5.288E+08  1942.7  2.26E+07  4.37E-04  2.76E-05  5.87E-09  2.36E-09  8.36E-01  4.33E-05  7.78E-04  1.78E-07  1.62E-01  5.71E-05  5.57E-17  7.55E-13  4.09E-09
4.509E+08  1864.6  2.77E+07  4.43E-04  2.18E-05  5.02E-09  1.19E-09  8.36E-01  2.61E-05  7.84E-04  1.21E-07  1.62E-01  5.65E-05  1.80E-17  3.40E-13  2.12E-09
3.845E+08  1794.2  3.26E+07  4.48E-04  1.74E-05  4.31E-09  6.09E-10  8.36E-01  1.59E-05  7.88E-04  8.27E-08  1.62E-01  5.58E-05  6.00E-18  1.56E-13  1.12E-09
3.279E+08  1737.8  3.73E+07  4.50E-04  1.48E-05  3.93E-09  3.55E-10  8.36E-01  1.05E-05  7.91E-04  6.12E-08  1.62E-01  5.42E-05  2.38E-18  8.15E-14  6.53E-10
2.796E+08  1693.3  4.19E+07  4.51E-04  1.37E-05  3.81E-09  2.37E-10  8.36E-01  7.58E-06  7.92E-04  4.90E-08  1.62E-01  5.19E-05  1.12E-18  4.81E-14  4.21E-10
2.384E+08  1652.0  4.63E+07  4.52E-04  1.27E-05  3.73E-09  1.61E-10  8.36E-01  5.50E-06  7.93E-04  3.95E-08  1.62E-01  4.96E-05  5.42E-19  2.88E-14  2.75E-10
2.033E+08  1609.9  5.06E+07  4.54E-04  1.14E-05  3.56E-09  1.03E-10  8.36E-01  3.87E-06  7.94E-04  3.09E-08  1.62E-01  4.76E-05  2.45E-19  1.65E-14  1.73E-10
1.734E+08  1578.3  5.48E+07  4.54E-04  1.12E-05  3.66E-09  7.79E-11  8.36E-01  3.00E-06  7.94E-04  2.65E-08  1.62E-01  4.48E-05  1.36E-19  1.08E-14  1.22E-10
1.478E+08  1561.9  5.90E+07  4.52E-04  1.28E-05  4.27E-09  7.72E-11  8.36E-01  2.71E-06  7.93E-04  2.66E-08  1.62E-01  4.08E-05  1.06E-19  9.11E-15  1.05E-10
1.261E+08  1556.1  6.31E+07  4.49E-04  1.63E-05  5.46E-09  9.30E-11  8.36E-01  2.75E-06  7.89E-04  2.97E-08  1.62E-01  3.62E-05  1.07E-19  9.11E-15  1.04E-10
1.075E+08  1548.7  6.72E+07  4.45E-04  2.04E-05  6.85E-09  1.08E-10  8.36E-01  2.74E-06  7.85E-04  3.24E-08  1.62E-01  3.22E-05  1.03E-19  8.82E-15  1.01E-10
9.168E+07  1539.2  7.12E+07  4.40E-04  2.48E-05  8.40E-09  1.20E-10  8.36E-01  2.66E-06  7.81E-04  3.45E-08  1.62E-01  2.87E-05  9.43E-20  8.20E-15  9.48E-11
7.818E+07  1531.8  7.53E+07  4.34E-04  3.06E-05  1.04E-08  1.38E-10  8.36E-01  2.65E-06  7.75E-04  3.73E-08  1.62E-01  2.53E-05  9.01E-20  7.86E-15  9.15E-11
6.667E+07  1527.1  7.93E+07  4.26E-04  3.87E-05  1.31E-08  1.66E-10  8.36E-01  2.72E-06  7.67E-04  4.12E-08  1.62E-01  2.22E-05  9.17E-20  7.86E-15  9.15E-11
5.685E+07  1522.7  8.33E+07  4.16E-04  4.88E-05  1.64E-08  1.99E-10  8.36E-01  2.80E-06  7.57E-04  4.54E-08  1.62E-01  1.94E-05  9.35E-20  7.87E-15  9.16E-11
4.848E+07  1517.8  8.73E+07  4.04E-04  6.06E-05  2.03E-08  2.33E-10  8.36E-01  2.86E-06  7.45E-04  4.94E-08  1.62E-01  1.70E-05  9.35E-20  7.77E-15  9.08E-11
4.134E+07  1517.8  9.13E+07  3.87E-04  7.79E-05  2.54E-08  2.93E-10  8.36E-01  3.10E-06  7.27E-04  5.60E-08  1.62E-01  1.46E-05  1.05E-19  8.30E-15  9.60E-11
3.525E+07  1522.4  9.52E+07  3.63E-04  1.02E-04  3.21E-08  3.90E-10  8.36E-01  3.54E-06  7.03E-04  6.55E-08  1.62E-01  1.24E-05  1.29E-19  9.50E-15  1.08E-10
3.006E+07  1527.9  9.92E+07  3.33E-04  1.32E-04  3.93E-08  5.07E-10  8.36E-01  4.09E-06  6.73E-04  7.56E-08  1.62E-01  1.05E-05  1.60E-19  1.09E-14  1.21E-10
2.563E+07  1526.5  1.03E+08  3.07E-04  1.58E-04  4.53E-08  5.75E-10  8.36E-01  4.35E-06  6.47E-04  8.09E-08  1.62E-01  9.03E-06  1.67E-19  1.12E-14  1.23E-10
2.186E+07  1527.6  1.07E+08  2.76E-04  1.89E-04  5.14E-08  6.55E-10  8.36E-01  4.77E-06  6.16E-04  8.68E-08  1.62E-01  7.72E-06  1.83E-19  1.18E-14  1.29E-10
1.864E+07  1537.7  1.11E+08  2.34E-04  2.30E-04  5.76E-08  7.99E-10  8.37E-01  5.81E-06  5.75E-04  9.73E-08  1.62E-01  6.42E-06  2.42E-19  1.43E-14  1.51E-10
1.589E+07  1553.4  1.15E+08  1.87E-04  2.78E-04  6.22E-08  9.63E-10  8.37E-01  7.52E-06  5.27E-04  1.09E-07  1.62E-01  5.26E-06  3.55E-19  1.87E-14  1.89E-10
1.355E+07  1567.5  1.19E+08  1.45E-04  3.19E-04  6.46E-08  1.06E-09  8.37E-01  9.52E-06  4.86E-04  1.16E-07  1.62E-01  4.33E-06  5.00E-19  2.37E-14  2.30E-10
1.156E+07  1575.1  1.23E+08  1.14E-04  3.50E-04  6.56E-08  1.04E-09  8.37E-01  1.12E-05  4.54E-04  1.16E-07  1.62E-01  3.63E-06  6.17E-19  2.74E-14  2.58E-10
9.856E+06  1577.9  1.28E+08  9.07E-05  3.74E-04  6.61E-08  9.53E-10  8.37E-01  1.25E-05  4.31E-04  1.12E-07  1.62E-01  3.08E-06  6.96E-19  2.95E-14  2.76E-10
8.405E+06  1576.3  1.32E+08  7.32E-05  3.91E-04  6.65E-08  8.28E-10  8.37E-01  1.33E-05  4.13E-04  1.04E-07  1.62E-01  2.64E-06  7.23E-19  2.99E-14  2.80E-10
7.167E+06  1574.0  1.36E+08  5.87E-05  4.06E-04  6.68E-08  6.99E-10  8.37E-01  1.41E-05  3.99E-04  9.56E-08  1.62E-01  2.27E-06  7.46E-19  3.01E-14  2.84E-10
6.112E+06  1573.1  1.40E+08  4.59E-05  4.19E-04  6.68E-08  5.79E-10  8.37E-01  1.51E-05  3.86E-04  8.70E-08  1.62E-01  1.94E-06  8.02E-19  3.11E-14  2.94E-10
5.212E+06  1572.0  1.44E+08  3.56E-05  4.29E-04  6.67E-08  4.68E-10  8.37E-01  1.61E-05  3.76E-04  7.83E-08  1.62E-01  1.66E-06  8.67E-19  3.22E-14  3.05E-10
4.444E+06  1568.7  1.48E+08  2.79E-05  4.37E-04  6.68E-08  3.70E-10  8.37E-01  1.69E-05  3.68E-04  6.95E-08  1.62E-01  1.43E-06  9.00E-19  3.24E-14  3.09E-10
3.790E+06  1563.3  1.52E+08  2.22E-05  4.43E-04  6.71E-08  2.89E-10  8.37E-01  1.72E-05  3.62E-04  6.11E-08  1.62E-01  1.24E-06  8.96E-19  3.16E-14  3.05E-10
3.232E+06  1555.7  1.56E+08  1.79E-05  4.47E-04  6.77E-08  2.23E-10  8.37E-01  1.71E-05  3.58E-04  5.34E-08  1.62E-01  1.08E-06  8.50E-19  2.97E-14  2.93E-10
2.756E+06  1547.7  1.61E+08  1.45E-05  4.50E-04  6.84E-08  1.71E-10  8.37E-01  1.69E-05  3.54E-04  4.64E-08  1.62E-01  9.43E-07  8.00E-19  2.78E-14  2.81E-10
2.350E+06  1536.8  1.65E+08  1.21E-05  4.53E-04  6.94E-08  1.31E-10  8.37E-01  1.62E-05  3.52E-04  4.02E-08  1.62E-01  8.30E-07  7.03E-19  2.48E-14  2.58E-10
2.004E+06  1525.7  1.69E+08  1.01E-05  4.55E-04  7.05E-08  9.98E-11  8.37E-01  1.54E-05  3.50E-04  3.47E-08  1.62E-01  7.31E-07  6.12E-19  2.20E-14  2.36E-10
1.709E+06  1512.9  1.73E+08  8.59E-06  4.56E-04  7.19E-08  7.60E-11  8.37E-01  1.44E-05  3.48E-04  2.99E-08  1.62E-01  6.47E-07  5.10E-19  1.89E-14  2.10E-10
1.457E+06  1500.2  1.77E+08  7.31E-06  4.57E-04  7.33E-08  5.78E-11  8.37E-01  1.34E-05  3.47E-04  2.58E-08  1.62E-01  5.73E-07  4.24E-19  1.62E-14  1.87E-10
1.243E+06  1487.5  1.81E+08  6.24E-06  4.58E-04  7.48E-08  4.39E-11  8.37E-01  1.24E-05  3.46E-04  2.22E-08  1.62E-01  5.08E-07  3.51E-19  1.38E-14  1.66E-10
1.060E+06  1473.8  1.84E+08  5.40E-06  4.59E-04  7.65E-08  3.34E-11  8.37E-01  1.14E-05  3.45E-04  1.91E-08  1.62E-01  4.52E-07  2.81E-19  1.16E-14  1.45E-10
9.036E+05  1460.2  1.88E+08  4.67E-06  4.60E-04  7.82E-08  2.53E-11  8.37E-01  1.04E-05  3.45E-04  1.64E-08  1.62E-01  4.03E-07  2.24E-19  9.64E-15  1.26E-10
7.705E+05  1446.7  1.92E+08  4.05E-06  4.61E-04  8.00E-08  1.92E-11  8.37E-01  9.46E-06  3.44E-04  1.41E-08  1.62E-01  3.59E-07  1.78E-19  8.02E-15  1.09E-10
6.571E+05  1431.3  1.96E+08  3.62E-06  4.61E-04  8.22E-08  1.47E-11  8.37E-01  8.38E-06  3.43E-04  1.21E-08  1.62E-01  3.22E-07  1.33E-19  6.39E-15  9.14E-11
5.603E+05  1415.4  2.00E+08  3.26E-06  4.61E-04  8.46E-08  1.12E-11  8.37E-01  7.34E-06  3.43E-04  1.04E-08  1.62E-01  2.89E-07  9.74E-20  5.01E-15  7.55E-11
4.778E+05  1398.2  2.03E+08  3.00E-06  4.62E-04  8.74E-08  8.57E-12  8.37E-01  6.29E-06  3.43E-04  8.91E-09  1.62E-01  2.62E-07  6.77E-20  3.79E-15  6.06E-11
4.074E+05  1380.8  2.07E+08  2.79E-06  4.62E-04  9.04E-08  6.58E-12  8.37E-01  5.34E-06  3.43E-04  7.65E-09  1.62E-01  2.37E-07  4.61E-20  2.84E-15  4.81E-11
3.474E+05  1362.3  2.11E+08  2.65E-06  4.62E-04  9.38E-08  5.07E-12  8.37E-01  4.43E-06  3.42E-04  6.57E-09  1.62E-01  2.16E-07  2.99E-20  2.05E-15  3.72E-11
2.963E+05  1343.8  2.14E+08  2.54E-06  4.62E-04  9.74E-08  3.91E-12  8.37E-01  3.66E-06  3.42E-04  5.64E-09  1.62E-01  1.97E-07  1.91E-20  1.47E-15  2.84E-11
2.526E+05  1324.7  2.18E+08  2.47E-06  4.62E-04  1.01E-07  3.02E-12  8.37E-01  2.97E-06  3.42E-04  4.84E-09  1.62E-01  1.81E-07  1.18E-20  1.02E-15  2.13E-11
2.154E+05  1305.7  2.21E+08  2.43E-06  4.62E-04  1.06E-07  2.34E-12  8.37E-01  2.39E-06  3.42E-04  4.16E-09  1.62E-01  1.66E-07  7.13E-21  7.05E-16  1.58E-11
1.837E+05  1286.7  2.25E+08  2.40E-06  4.62E-04  1.10E-07  1.82E-12  8.37E-01  1.91E-06  3.42E-04  3.57E-09  1.62E-01  1.53E-07  4.24E-21  4.80E-16  1.16E-11
1.567E+05  1267.5  2.28E+08  2.40E-06  4.62E-04  1.16E-07  1.42E-12  8.37E-01  1.50E-06  3.42E-04  3.07E-09  1.62E-01  1.41E-07  2.45E-21  3.21E-16  8.40E-12
1.336E+05  1248.6  2.31E+08  2.42E-06  4.62E-04  1.21E-07  1.10E-12  8.37E-01  1.18E-06  3.42E-04  2.64E-09  1.62E-01  1.31E-07  1.41E-21  2.13E-16  6.04E-12
1.139E+05  1229.5  2.35E+08  2.46E-06  4.62E-04  1.27E-07  8.60E-13  8.37E-01  9.16E-07  3.42E-04  2.26E-09  1.62E-01  1.21E-07  7.83E-22  1.39E-16  4.27E-12
9.715E+04  1211.7  2.38E+08  2.48E-06  4.62E-04  1.33E-07  6.70E-13  8.37E-01  7.20E-07  3.42E-04  1.94E-09  1.62E-01  1.12E-07  4.49E-22  9.21E-17  3.07E-12
8.284E+04  1195.0  2.41E+08  2.47E-06  4.62E-04  1.39E-07  5.20E-13  8.37E-01  5.72E-07  3.42E-04  1.67E-09  1.62E-01  1.03E-07  2.64E-22  6.22E-17  2.24E-12
7.064E+04  1179.1  2.44E+08  2.44E-06  4.62E-04  1.46E-07  4.04E-13  8.37E-01  4.57E-07  3.42E-04  1.43E-09  1.62E-01  9.48E-08  1.57E-22  4.24E-17  1.64E-12
6.024E+04  1163.4  2.47E+08  2.42E-06  4.62E-04  1.53E-07  3.13E-13  8.37E-01  3.64E-07  3.42E-04  1.23E-09  1.62E-01  8.73E-08  9.30E-23  2.87E-17  1.20E-12
5.137E+04  1149.9  2.50E+08  2.32E-06  4.62E-04  1.59E-07  2.42E-13  8.37E-01  3.01E-07  3.42E-04  1.06E-09  1.62E-01  7.97E-08  5.96E-23  2.06E-17  9.21E-13
4.380E+04  1138.1  2.53E+08  2.15E-06  4.62E-04  1.65E-07  1.85E-13  8.37E-01  2.56E-07  3.42E-04  9.07E-10  1.62E-01  7.22E-08  4.07E-23  1.54E-17  7.32E-13
3.735E+04  1128.6  2.56E+08  1.92E-06  4.63E-04  1.70E-07  1.41E-13  8.37E-01  2.27E-07  3.42E-04  7.78E-10  1.62E-01  6.47E-08  3.06E-23  1.23E-17  6.15E-13
3.185E+04  1120.4  2.59E+08  1.66E-06  4.63E-04  1.74E-07  1.07E-13  8.37E-01  2.07E-07  3.41E-04  6.67E-10  1.62E-01  5.76E-08  2.43E-23  1.02E-17  5.33E-13
2.716E+04  1113.3  2.62E+08  1.41E-06  4.63E-04  1.78E-07  8.03E-14  8.37E-01  1.92E-07  3.41E-04  5.71E-10  1.62E-01  5.10E-08  2.03E-23  8.77E-18  4.74E-13
2.316E+04  1105.4  2.65E+08  1.22E-06  4.63E-04  1.83E-07  6.07E-14  8.37E-01  1.75E-07  3.41E-04  4.89E-10  1.62E-01  4.54E-08  1.62E-23  7.30E-18  4.12E-13
1.975E+04  1097.9  2.68E+08  1.05E-06  4.64E-04  1.87E-07  4.58E-14  8.37E-01  1.61E-07  3.41E-04  4.19E-10  1.62E-01  4.04E-08  1.31E-23  6.14E-18  3.61E-13
1.684E+04  1090.7  2.71E+08  9.03E-07  4.64E-04  1.92E-07  3.45E-14  8.37E-01  1.48E-07  3.41E-04  3.59E-10  1.62E-01  3.58E-08  1.07E-23  5.20E-18  3.18E-13
1.436E+04  1082.3  2.74E+08  7.97E-07  4.64E-04  1.98E-07  2.61E-14  8.37E-01  1.33E-07  3.40E-04  3.08E-10  1.62E-01  3.21E-08  8.21E-24  4.21E-18  2.70E-13
1.225E+04  1075.0  2.77E+08  6.88E-07  4.64E-04  2.03E-07  1.97E-14  8.37E-01  1.21E-07  3.40E-04  2.63E-10  1.62E-01  2.85E-08  6.61E-24  3.52E-18  2.36E-13
1.044E+04  1067.9  2.80E+08  5.91E-07  4.64E-04  2.08E-07  1.49E-14  8.37E-01  1.11E-07  3.40E-04  2.25E-10  1.62E-01  2.53E-08  5.36E-24  2.96E-18  2.06E-13
8.906E+03  1061.8  2.82E+08  4.98E-07  4.64E-04  2.12E-07  1.12E-14  8.37E-01  1.04E-07  3.40E-04  1.93E-10  1.62E-01  2.24E-08  4.55E-24  2.57E-18  1.86E-13
7.595E+03  1056.7  2.85E+08  4.10E-07  4.64E-04  2.16E-07  8.33E-15  8.37E-01  1.00E-07  3.40E-04  1.65E-10  1.62E-01  1.97E-08  4.07E-24  2.32E-18  1.72E-13
6.476E+03  1052.3  2.88E+08  3.32E-07  4.64E-04  2.20E-07  6.20E-15  8.37E-01  9.76E-08  3.40E-04  1.41E-10  1.62E-01  1.72E-08  3.76E-24  2.13E-18  1.63E-13
5.523E+03  1048.6  2.91E+08  2.64E-07  4.64E-04  2.23E-07  4.60E-15  8.37E-01  9.66E-08  3.40E-04  1.21E-10  1.62E-01  1.50E-08  3.61E-24  2.01E-18  1.57E-13
4.709E+03  1045.5  2.93E+08  2.08E-07  4.64E-04  2.26E-07  3.40E-15  8.37E-01  9.70E-08  3.40E-04  1.03E-10  1.62E-01  1.31E-08  3.58E-24  1.94E-18  1.54E-13
4.016E+03  1043.3  2.96E+08  1.59E-07  4.64E-04  2.28E-07  2.50E-15  8.37E-01  9.95E-08  3.40E-04  8.80E-11  1.62E-01  1.13E-08  3.72E-24  1.94E-18  1.56E-13
3.424E+03  1041.4  2.99E+08  1.22E-07  4.64E-04  2.29E-07  1.84E-15  8.37E-01  1.03E-07  3.40E-04  7.51E-11  1.62E-01  9.73E-09  3.93E-24  1.95E-18  1.59E-13
2.920E+03  1039.8  3.02E+08  9.20E-08  4.64E-04  2.31E-07  1.35E-15  8.37E-01  1.07E-07  3.40E-04  6.41E-11  1.62E-01  8.38E-09  4.21E-24  1.99E-18  1.64E-13
2.490E+03  1038.4  3.04E+08  6.93E-08  4.64E-04  2.32E-07  9.88E-16  8.37E-01  1.12E-07  3.40E-04  5.47E-11  1.62E-01  7.21E-09  4.57E-24  2.04E-18  1.70E-13
2.123E+03  1036.6  3.07E+08  5.27E-08  4.64E-04  2.33E-07  7.25E-16  8.37E-01  1.16E-07  3.40E-04  4.67E-11  1.62E-01  6.22E-09  4.85E-24  2.07E-18  1.74E-13
1.811E+03  1034.8  3.10E+08  4.02E-08  4.65E-04  2.35E-07  5.33E-16  8.37E-01  1.20E-07  3.40E-04  3.99E-11  1.62E-01  5.36E-09  5.15E-24  2.09E-18  1.77E-13
1.544E+03  1032.8  3.13E+08  3.07E-08  4.65E-04  2.37E-07  3.91E-16  8.37E-01  1.24E-07  3.40E-04  3.41E-11  1.62E-01  4.63E-09  5.40E-24  2.10E-18  1.80E-13
1.317E+03  1030.9  3.15E+08  2.35E-08  4.65E-04  2.39E-07  2.88E-16  8.37E-01  1.28E-07  3.40E-04  2.91E-11  1.62E-01  4.00E-09  5.69E-24  2.11E-18  1.84E-13
1.123E+03  1029.0  3.18E+08  1.79E-08  4.65E-04  2.40E-07  2.11E-16  8.37E-01  1.32E-07  3.40E-04  2.48E-11  1.62E-01  3.45E-09  6.00E-24  2.12E-18  1.87E-13
9.575E+02  1027.1  3.21E+08  1.37E-08  4.65E-04  2.42E-07  1.55E-16  8.37E-01  1.36E-07  3.40E-04  2.12E-11  1.62E-01  2.98E-09  6.32E-24  2.14E-18  1.90E-13
8.165E+02  1025.2  3.23E+08  1.04E-08  4.65E-04  2.44E-07  1.14E-16  8.37E-01  1.40E-07  3.40E-04  1.81E-11  1.62E-01  2.57E-09  6.65E-24  2.15E-18  1.94E-13
6.963E+02  1023.3  3.26E+08  7.97E-09  4.65E-04  2.46E-07  8.38E-17  8.37E-01  1.45E-07  3.40E-04  1.54E-11  1.62E-01  2.22E-09  7.00E-24  2.16E-18  1.97E-13
5.937E+02  1021.4  3.29E+08  6.09E-09  4.65E-04  2.48E-07  6.15E-17  8.37E-01  1.49E-07  3.40E-04  1.32E-11  1.62E-01  1.91E-09  7.37E-24  2.18E-18  2.01E-13
5.063E+02  1019.4  3.31E+08  4.66E-09  4.65E-04  2.50E-07  4.52E-17  8.37E-01  1.54E-07  3.40E-04  1.12E-11  1.62E-01  1.65E-09  7.70E-24  2.18E-18  2.04E-13
