Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	1.048453e+00
3.000686e-07	1.048414e+00
3.003682e-07	1.048384e+00
3.006681e-07	1.048357e+00
3.009683e-07	1.147989e+00
3.012689e-07	1.048304e+00
3.015697e-07	1.048278e+00
3.018708e-07	1.048254e+00
3.021723e-07	1.048226e+00
3.024740e-07	1.048243e+00
3.027760e-07	1.048174e+00
3.030783e-07	1.048148e+00
3.033810e-07	1.048122e+00
3.036839e-07	1.060824e+00
3.039872e-07	1.048071e+00
3.042907e-07	1.048045e+00
3.045945e-07	1.048021e+00
3.048987e-07	1.047995e+00
3.052031e-07	1.170439e+00
3.055079e-07	1.047945e+00
3.058130e-07	1.047919e+00
3.061183e-07	1.047925e+00
3.064240e-07	1.047958e+00
3.067300e-07	1.047909e+00
3.070363e-07	1.047824e+00
3.073428e-07	1.047816e+00
3.076497e-07	1.047946e+00
3.079569e-07	1.048756e+00
3.082644e-07	1.047987e+00
3.085723e-07	1.047724e+00
3.088804e-07	1.047676e+00
3.091888e-07	1.064937e+00
3.094975e-07	1.047632e+00
3.098066e-07	1.047600e+00
3.101159e-07	1.052828e+00
3.104256e-07	1.047600e+00
3.107356e-07	1.047527e+00
3.110459e-07	1.047523e+00
3.113564e-07	1.047511e+00
3.116674e-07	1.047466e+00
3.119786e-07	1.047431e+00
3.122901e-07	1.110385e+00
3.126019e-07	1.074962e+00
3.129141e-07	1.048521e+00
3.132265e-07	1.047336e+00
3.135393e-07	1.047310e+00
3.138524e-07	1.047573e+00
3.141658e-07	1.167159e+00
3.144795e-07	1.047239e+00
3.147935e-07	1.047227e+00
3.151078e-07	1.047192e+00
3.154225e-07	1.047174e+00
3.157374e-07	1.047152e+00
3.160527e-07	1.047138e+00
3.163683e-07	1.047150e+00
3.166842e-07	1.169880e+00
3.170004e-07	1.047056e+00
3.173170e-07	1.047033e+00
3.176338e-07	1.047010e+00
3.179510e-07	1.046986e+00
3.182685e-07	1.046967e+00
3.185863e-07	1.047186e+00
3.189044e-07	1.046919e+00
3.192228e-07	1.046901e+00
3.195416e-07	1.046875e+00
3.198607e-07	1.046852e+00
3.201800e-07	1.046830e+00
3.204998e-07	1.046926e+00
3.208198e-07	1.046786e+00
3.211401e-07	1.046774e+00
3.214608e-07	1.046742e+00
3.217818e-07	1.046801e+00
3.221031e-07	1.046833e+00
3.224247e-07	1.170451e+00
3.227467e-07	1.046740e+00
3.230690e-07	1.046779e+00
3.233916e-07	1.046612e+00
3.237145e-07	1.046866e+00
3.240377e-07	1.046609e+00
3.243613e-07	1.050567e+00
3.246852e-07	1.046558e+00
3.250094e-07	1.047166e+00
3.253339e-07	1.046696e+00
3.256588e-07	1.046607e+00
3.259840e-07	1.046518e+00
3.263095e-07	1.046586e+00
3.266353e-07	1.060329e+00
3.269615e-07	1.046827e+00
3.272879e-07	1.047239e+00
3.276147e-07	1.046397e+00
3.279419e-07	1.046398e+00
3.282693e-07	1.046532e+00
3.285971e-07	1.046328e+00
3.289253e-07	1.046342e+00
3.292537e-07	1.046535e+00
3.295825e-07	1.046225e+00
3.299116e-07	1.046200e+00
3.302410e-07	1.046186e+00
3.305708e-07	1.046193e+00
3.309008e-07	1.046142e+00
3.312313e-07	1.046244e+00
3.315620e-07	1.086322e+00
3.318931e-07	1.089126e+00
3.322245e-07	1.046056e+00
3.325562e-07	1.046086e+00
3.328883e-07	1.046021e+00
3.332207e-07	1.046216e+00
3.335534e-07	1.170451e+00
3.338865e-07	1.045959e+00
3.342199e-07	1.046046e+00
3.345536e-07	1.157653e+00
3.348877e-07	1.045899e+00
3.352221e-07	1.045879e+00
3.355568e-07	1.045900e+00
3.358919e-07	1.045854e+00
3.362273e-07	1.045872e+00
3.365630e-07	1.045808e+00
3.368991e-07	1.045785e+00
3.372355e-07	1.045779e+00
3.375722e-07	1.045755e+00
3.379093e-07	1.045728e+00
3.382467e-07	1.045708e+00
3.385845e-07	1.045695e+00
3.389226e-07	1.045671e+00
3.392610e-07	1.045652e+00
3.395998e-07	1.045633e+00
3.399389e-07	1.045616e+00
3.402783e-07	1.045596e+00
3.406181e-07	1.045796e+00
3.409582e-07	1.045560e+00
3.412987e-07	1.045542e+00
3.416395e-07	1.045524e+00
3.419806e-07	1.045505e+00
3.423221e-07	1.045500e+00
3.426639e-07	1.045470e+00
3.430061e-07	1.045451e+00
3.433486e-07	1.045435e+00
3.436914e-07	1.045415e+00
3.440346e-07	1.045398e+00
3.443781e-07	1.045380e+00
3.447220e-07	1.045362e+00
3.450662e-07	1.045665e+00
3.454108e-07	1.045327e+00
3.457557e-07	1.045310e+00
3.461010e-07	1.045292e+00
3.464466e-07	1.045301e+00
3.467925e-07	1.045257e+00
3.471388e-07	1.045244e+00
3.474854e-07	1.045223e+00
3.478324e-07	1.045206e+00
3.481797e-07	1.045189e+00
3.485274e-07	1.045172e+00
3.488754e-07	1.049072e+00
3.492238e-07	1.045138e+00
3.495725e-07	1.045121e+00
3.499215e-07	1.045104e+00
3.502709e-07	1.045103e+00
3.506207e-07	1.045087e+00
3.509708e-07	1.045069e+00
3.513213e-07	1.045052e+00
3.516721e-07	1.045037e+00
3.520232e-07	1.045018e+00
3.523747e-07	1.045001e+00
3.527266e-07	1.044984e+00
3.530788e-07	1.044967e+00
3.534314e-07	1.044976e+00
3.537843e-07	1.044935e+00
3.541376e-07	1.044930e+00
3.544912e-07	1.045111e+00
3.548451e-07	1.044904e+00
3.551995e-07	1.044869e+00
3.555542e-07	1.044864e+00
3.559092e-07	1.044836e+00
3.562646e-07	1.044820e+00
3.566203e-07	1.044831e+00
3.569764e-07	1.141216e+00
3.573329e-07	1.044772e+00
3.576897e-07	1.044976e+00
3.580468e-07	1.044740e+00
3.584044e-07	1.044728e+00
3.587622e-07	1.044709e+00
3.591205e-07	1.049246e+00
3.594791e-07	1.044680e+00
3.598380e-07	1.044663e+00
3.601973e-07	1.044646e+00
3.605570e-07	1.044859e+00
3.609170e-07	1.044617e+00
3.612774e-07	1.044601e+00
3.616382e-07	1.044585e+00
3.619993e-07	1.044570e+00
3.623608e-07	1.044583e+00
3.627226e-07	1.044565e+00
3.630848e-07	1.044528e+00
3.634473e-07	1.044510e+00
3.638103e-07	1.044495e+00
3.641735e-07	1.053142e+00
3.645372e-07	1.044466e+00
3.649012e-07	1.044461e+00
3.652655e-07	1.044436e+00
3.656303e-07	1.044421e+00
3.659954e-07	1.047694e+00
3.663608e-07	1.044392e+00
3.667267e-07	1.044381e+00
3.670928e-07	1.044365e+00
3.674594e-07	1.044348e+00
3.678263e-07	1.044334e+00
3.681936e-07	1.047274e+00
3.685613e-07	1.044305e+00
3.689293e-07	1.045091e+00
3.692977e-07	1.044277e+00
3.696664e-07	1.044263e+00
3.700356e-07	1.044253e+00
3.704051e-07	1.044236e+00
3.707749e-07	1.100738e+00
3.711452e-07	1.044207e+00
3.715158e-07	1.044193e+00
3.718867e-07	1.044184e+00
3.722581e-07	1.076680e+00
3.726298e-07	1.044152e+00
3.730019e-07	1.044139e+00
3.733743e-07	1.045093e+00
3.737472e-07	1.044111e+00
3.741204e-07	1.044097e+00
3.744939e-07	1.044085e+00
3.748679e-07	1.044070e+00
3.752422e-07	1.044057e+00
3.756169e-07	1.044044e+00
3.759920e-07	1.044030e+00
3.763674e-07	1.044017e+00
3.767432e-07	1.044004e+00
3.771194e-07	1.043991e+00
3.774960e-07	1.043978e+00
3.778729e-07	1.043965e+00
3.782502e-07	1.043953e+00
3.786279e-07	1.043939e+00
3.790060e-07	1.043926e+00
3.793845e-07	1.043913e+00
3.797633e-07	1.043900e+00
3.801425e-07	1.043887e+00
3.805221e-07	1.043874e+00
3.809020e-07	1.043862e+00
3.812824e-07	1.043849e+00
3.816631e-07	1.043837e+00
3.820442e-07	1.043824e+00
3.824257e-07	1.043811e+00
3.828076e-07	1.043799e+00
3.831898e-07	1.051736e+00
3.835724e-07	1.043774e+00
3.839555e-07	1.043762e+00
3.843389e-07	1.043750e+00
3.847226e-07	1.043739e+00
3.851068e-07	1.043725e+00
3.854913e-07	1.043713e+00
3.858763e-07	1.043701e+00
3.862616e-07	1.055685e+00
3.866473e-07	1.043677e+00
3.870333e-07	1.043665e+00
3.874198e-07	1.043658e+00
3.878067e-07	1.043641e+00
3.881939e-07	1.043629e+00
3.885815e-07	1.043618e+00
3.889695e-07	1.043606e+00
3.893579e-07	1.043594e+00
3.897467e-07	1.043582e+00
3.901359e-07	1.043576e+00
3.905255e-07	1.043559e+00
3.909154e-07	1.043548e+00
3.913058e-07	1.043536e+00
3.916965e-07	1.043528e+00
3.920876e-07	1.043514e+00
3.924791e-07	1.043502e+00
3.928711e-07	1.043491e+00
3.932633e-07	1.043480e+00
3.936560e-07	1.044385e+00
3.940491e-07	1.043458e+00
3.944426e-07	1.043447e+00
3.948365e-07	1.043437e+00
3.952307e-07	1.043426e+00
3.956254e-07	1.052059e+00
3.960204e-07	1.043404e+00
3.964159e-07	1.043394e+00
3.968117e-07	1.043383e+00
3.972079e-07	1.043373e+00
3.976045e-07	1.043386e+00
3.980016e-07	1.044323e+00
3.983990e-07	1.043344e+00
3.987968e-07	1.043335e+00
3.991950e-07	1.043326e+00
3.995936e-07	1.043318e+00
3.999926e-07	1.043311e+00
4.003920e-07	1.043305e+00
4.007919e-07	1.043300e+00
4.011921e-07	1.043298e+00
4.015927e-07	1.043299e+00
4.019937e-07	1.043307e+00
4.023951e-07	1.043326e+00
4.027969e-07	1.043369e+00
4.031991e-07	1.043470e+00
4.036017e-07	1.043761e+00
4.040047e-07	1.045225e+00
4.044081e-07	1.099227e+00
4.048119e-07	1.058478e+00
4.052162e-07	1.044239e+00
4.056208e-07	1.043533e+00
4.060258e-07	1.043339e+00
4.064312e-07	1.046537e+00
4.068371e-07	1.054393e+00
4.072433e-07	1.043165e+00
4.076500e-07	1.043140e+00
4.080570e-07	1.043120e+00
4.084645e-07	1.043103e+00
4.088723e-07	1.043088e+00
4.092806e-07	1.043074e+00
4.096893e-07	1.043061e+00
4.100984e-07	1.043049e+00
4.105079e-07	1.043038e+00
4.109178e-07	1.043026e+00
4.113281e-07	1.043016e+00
4.117388e-07	1.043004e+00
4.121500e-07	1.042995e+00
4.125615e-07	1.042983e+00
4.129735e-07	1.042973e+00
4.133859e-07	1.042963e+00
4.137986e-07	1.042953e+00
4.142118e-07	1.042943e+00
4.146254e-07	1.042934e+00
4.150395e-07	1.043039e+00
4.154539e-07	1.042914e+00
4.158687e-07	1.042904e+00
4.162840e-07	1.042895e+00
4.166997e-07	1.042885e+00
4.171158e-07	1.044146e+00
4.175323e-07	1.042866e+00
4.179492e-07	1.042857e+00
4.183665e-07	1.042848e+00
4.187843e-07	1.042839e+00
4.192024e-07	1.042830e+00
4.196210e-07	1.042822e+00
4.200400e-07	1.042811e+00
4.204595e-07	1.042802e+00
4.208793e-07	1.042794e+00
4.212996e-07	1.042784e+00
4.217203e-07	1.042776e+00
4.221414e-07	1.042767e+00
4.225629e-07	1.042758e+00
4.229848e-07	1.042752e+00
4.234072e-07	1.042740e+00
4.238300e-07	1.042732e+00
4.242532e-07	1.042723e+00
4.246768e-07	1.042714e+00
4.251009e-07	1.042706e+00
4.255254e-07	1.042697e+00
4.259503e-07	1.042688e+00
4.263756e-07	1.042680e+00
4.268013e-07	1.042671e+00
4.272275e-07	1.042662e+00
4.276541e-07	1.042654e+00
4.280812e-07	1.042646e+00
4.285086e-07	1.042637e+00
4.289365e-07	1.042629e+00
4.293648e-07	1.042621e+00
4.297935e-07	1.042612e+00
4.302227e-07	1.042604e+00
4.306523e-07	1.042596e+00
4.310823e-07	1.042588e+00
4.315128e-07	1.042579e+00
4.319436e-07	1.042571e+00
4.323750e-07	1.042563e+00
4.328067e-07	1.042555e+00
4.332389e-07	1.042547e+00
4.336715e-07	1.042539e+00
4.341045e-07	1.042531e+00
4.345380e-07	1.042523e+00
4.349719e-07	1.042516e+00
4.354062e-07	1.042507e+00
4.358410e-07	1.042500e+00
4.362762e-07	1.042492e+00
4.367118e-07	1.042487e+00
4.371479e-07	1.042477e+00
4.375844e-07	1.042482e+00
4.380214e-07	1.042461e+00
4.384587e-07	1.042455e+00
4.388966e-07	1.042447e+00
4.393348e-07	1.042438e+00
4.397735e-07	1.042430e+00
4.402126e-07	1.042422e+00
4.406522e-07	1.042451e+00
4.410922e-07	1.042407e+00
4.415327e-07	1.042400e+00
4.419735e-07	1.042393e+00
4.424149e-07	1.042385e+00
4.428566e-07	1.042379e+00
4.432988e-07	1.042371e+00
4.437415e-07	1.042363e+00
4.441846e-07	1.042356e+00
4.446281e-07	1.042349e+00
4.450721e-07	1.042440e+00
4.455165e-07	1.042335e+00
4.459614e-07	1.042332e+00
4.464067e-07	1.042319e+00
4.468525e-07	1.042318e+00
4.472987e-07	1.042305e+00
4.477453e-07	1.042298e+00
4.481924e-07	1.042291e+00
4.486399e-07	1.042285e+00
4.490879e-07	1.042277e+00
4.495363e-07	1.042270e+00
4.499852e-07	1.042263e+00
4.504345e-07	1.042256e+00
4.508843e-07	1.042249e+00
4.513345e-07	1.042244e+00
4.517852e-07	1.042236e+00
4.522363e-07	1.042229e+00
4.526879e-07	1.042224e+00
4.531399e-07	1.042215e+00
4.535924e-07	1.042208e+00
4.540453e-07	1.042202e+00
4.544987e-07	1.042195e+00
4.549526e-07	1.042188e+00
4.554068e-07	1.042181e+00
4.558616e-07	1.042175e+00
4.563168e-07	1.042168e+00
4.567724e-07	1.042161e+00
4.572285e-07	1.042155e+00
4.576851e-07	1.042149e+00
4.581421e-07	1.042142e+00
4.585996e-07	1.042136e+00
4.590575e-07	1.042129e+00
4.595159e-07	1.042123e+00
4.599747e-07	1.042117e+00
4.604340e-07	1.042110e+00
4.608938e-07	1.042104e+00
4.613540e-07	1.042097e+00
4.618147e-07	1.042091e+00
4.622758e-07	1.042094e+00
4.627374e-07	1.042078e+00
4.631995e-07	1.042073e+00
4.636620e-07	1.042066e+00
4.641250e-07	1.042062e+00
4.645885e-07	1.042054e+00
4.650524e-07	1.042048e+00
4.655167e-07	1.042043e+00
4.659816e-07	1.042035e+00
4.664469e-07	1.042030e+00
4.669126e-07	1.042025e+00
4.673789e-07	1.042018e+00
4.678456e-07	1.042013e+00
4.683127e-07	1.042005e+00
4.687803e-07	1.042015e+00
4.692484e-07	1.041995e+00
4.697170e-07	1.041989e+00
4.701860e-07	1.041982e+00
4.706555e-07	1.041977e+00
4.711255e-07	1.041997e+00
4.715959e-07	1.041965e+00
4.720668e-07	1.041959e+00
4.725382e-07	1.041953e+00
4.730101e-07	1.041947e+00
4.734824e-07	1.041942e+00
4.739552e-07	1.042025e+00
4.744284e-07	1.041930e+00
4.749022e-07	1.041926e+00
4.753764e-07	1.041927e+00
4.758511e-07	1.041915e+00
4.763262e-07	1.041908e+00
4.768018e-07	1.041902e+00
4.772779e-07	1.041899e+00
4.777545e-07	1.041892e+00
4.782316e-07	1.041887e+00
4.787091e-07	1.041881e+00
4.791871e-07	1.041877e+00
4.796656e-07	1.041872e+00
4.801446e-07	1.041866e+00
4.806240e-07	1.041860e+00
4.811039e-07	1.041854e+00
4.815843e-07	1.041852e+00
4.820652e-07	1.041851e+00
4.825466e-07	1.041858e+00
4.830284e-07	1.041835e+00
4.835107e-07	1.041832e+00
4.839935e-07	1.041923e+00
4.844768e-07	1.041825e+00
4.849606e-07	1.041814e+00
4.854448e-07	1.041811e+00
4.859296e-07	1.041805e+00
4.864148e-07	1.041799e+00
4.869005e-07	1.041794e+00
4.873867e-07	1.041789e+00
4.878734e-07	1.041819e+00
4.883605e-07	1.041779e+00
4.888482e-07	1.041774e+00
4.893363e-07	1.041774e+00
4.898249e-07	1.041808e+00
4.903140e-07	1.041759e+00
4.908036e-07	1.041756e+00
4.912937e-07	1.041751e+00
4.917843e-07	1.041745e+00
4.922754e-07	1.041741e+00
4.927669e-07	1.041740e+00
4.932590e-07	1.041731e+00
4.937515e-07	1.041729e+00
4.942445e-07	1.041728e+00
4.947380e-07	1.041743e+00
4.952321e-07	1.041714e+00
4.957266e-07	1.041710e+00
4.962216e-07	1.041706e+00
4.967171e-07	1.041701e+00
4.972131e-07	1.041698e+00
4.977095e-07	1.041746e+00
4.982065e-07	1.041687e+00
4.987040e-07	1.041683e+00
4.992020e-07	1.041684e+00
4.997004e-07	1.041675e+00
5.001994e-07	1.041674e+00
5.006989e-07	1.041670e+00
5.011988e-07	1.041663e+00
5.016993e-07	1.041659e+00
5.022003e-07	1.041656e+00
5.027017e-07	1.041652e+00
5.032037e-07	1.041656e+00
5.037062e-07	1.041646e+00
5.042091e-07	1.041639e+00
5.047126e-07	1.041641e+00
5.052166e-07	1.041632e+00
5.057211e-07	1.041631e+00
5.062261e-07	1.041625e+00
5.067315e-07	1.041624e+00
5.072375e-07	1.041622e+00
5.077440e-07	1.041614e+00
5.082510e-07	1.041616e+00
5.087585e-07	1.041620e+00
5.092665e-07	1.041606e+00
5.097751e-07	1.041602e+00
5.102841e-07	1.041599e+00
5.107936e-07	1.041609e+00
5.113037e-07	1.041640e+00
5.118142e-07	1.041596e+00
5.123253e-07	1.041589e+00
5.128369e-07	1.041597e+00
5.133490e-07	1.041597e+00
5.138616e-07	1.041587e+00
5.143747e-07	1.041581e+00
5.148883e-07	1.041572e+00
5.154024e-07	1.041572e+00
5.159171e-07	1.041577e+00
5.164322e-07	1.041566e+00
5.169479e-07	1.041565e+00
5.174641e-07	1.041563e+00
5.179808e-07	1.041573e+00
5.184980e-07	1.041557e+00
5.190158e-07	1.041556e+00
5.195340e-07	1.041554e+00
5.200528e-07	1.041552e+00
5.205721e-07	1.041552e+00
5.210919e-07	1.041549e+00
5.216122e-07	1.041549e+00
5.221331e-07	1.041546e+00
5.226545e-07	1.041546e+00
5.231763e-07	1.041545e+00
5.236988e-07	1.041544e+00
5.242217e-07	1.044318e+00
5.247451e-07	1.041545e+00
5.252691e-07	1.041543e+00
5.257936e-07	1.041543e+00
5.263187e-07	1.041542e+00
5.268442e-07	1.041543e+00
5.273703e-07	1.041550e+00
5.278969e-07	1.041556e+00
5.284240e-07	1.041544e+00
5.289516e-07	1.041545e+00
5.294798e-07	1.041552e+00
5.300085e-07	1.041549e+00
5.305378e-07	1.041551e+00
5.310675e-07	1.041553e+00
5.315978e-07	1.041553e+00
5.321286e-07	1.041554e+00
5.326600e-07	1.041558e+00
5.331919e-07	1.041562e+00
5.337243e-07	1.041563e+00
5.342572e-07	1.041648e+00
5.347907e-07	1.041571e+00
5.353247e-07	1.041574e+00
5.358592e-07	1.041579e+00
5.363943e-07	1.041584e+00
5.369299e-07	1.041588e+00
5.374661e-07	1.041594e+00
5.380028e-07	1.041600e+00
5.385400e-07	1.041606e+00
5.390777e-07	1.041617e+00
5.396160e-07	1.041666e+00
5.401548e-07	1.041647e+00
5.406942e-07	1.041640e+00
5.412341e-07	1.041646e+00
5.417745e-07	1.041657e+00
5.423155e-07	1.041671e+00
5.428571e-07	1.041680e+00
5.433991e-07	1.041707e+00
5.439417e-07	1.041744e+00
5.444849e-07	1.041714e+00
5.450286e-07	1.041727e+00
5.455728e-07	1.041738e+00
5.461176e-07	1.041754e+00
5.466629e-07	1.041770e+00
5.472087e-07	1.041872e+00
5.477552e-07	1.041808e+00
5.483021e-07	1.041836e+00
5.488496e-07	1.041843e+00
5.493977e-07	1.041865e+00
5.499462e-07	1.041888e+00
5.504954e-07	1.041910e+00
5.510451e-07	1.041935e+00
5.515953e-07	1.041966e+00
5.521461e-07	1.041990e+00
5.526974e-07	1.042021e+00
5.532493e-07	1.042053e+00
5.538018e-07	1.042118e+00
5.543548e-07	1.042131e+00
5.549083e-07	1.042159e+00
5.554624e-07	1.042200e+00
5.560171e-07	1.042241e+00
5.565723e-07	1.042301e+00
5.571280e-07	1.042601e+00
5.576843e-07	1.042385e+00
5.582412e-07	1.042435e+00
5.587986e-07	1.042524e+00
5.593566e-07	1.042551e+00
5.599151e-07	1.042615e+00
5.604742e-07	1.042688e+00
5.610339e-07	1.042764e+00
5.615941e-07	1.042834e+00
5.621549e-07	1.042912e+00
5.627162e-07	1.043000e+00
5.632781e-07	1.043091e+00
5.638406e-07	1.043189e+00
5.644036e-07	1.043294e+00
5.649671e-07	1.043404e+00
5.655313e-07	1.043526e+00
5.660960e-07	1.043654e+00
5.666613e-07	1.043788e+00
5.672271e-07	1.043932e+00
5.677935e-07	1.044090e+00
5.683605e-07	1.044283e+00
5.689280e-07	1.044436e+00
5.694961e-07	1.044632e+00
5.700647e-07	1.044833e+00
5.706340e-07	1.045062e+00
5.712038e-07	1.045295e+00
5.717741e-07	1.045579e+00
5.723451e-07	1.045834e+00
5.729166e-07	1.046120e+00
5.734887e-07	1.046440e+00
5.740613e-07	1.046788e+00
5.746345e-07	1.047225e+00
5.752083e-07	1.047560e+00
5.757827e-07	1.048000e+00
5.763576e-07	1.048464e+00
5.769332e-07	1.052013e+00
5.775092e-07	1.049521e+00
5.780859e-07	1.050138e+00
5.786631e-07	1.050755e+00
5.792410e-07	1.051457e+00
5.798194e-07	1.052187e+00
5.803983e-07	1.052991e+00
5.809779e-07	1.053844e+00
5.815580e-07	1.054784e+00
5.821387e-07	1.055737e+00
5.827200e-07	1.056783e+00
5.833019e-07	1.057890e+00
5.838843e-07	1.059071e+00
5.844673e-07	1.060331e+00
5.850510e-07	1.061689e+00
5.856351e-07	1.063171e+00
5.862199e-07	1.064826e+00
5.868053e-07	1.066788e+00
5.873912e-07	1.069430e+00
5.879778e-07	1.074302e+00
